2022-12-26,20:06:37,383,336,288
2022-12-26,20:07:15,332,332,276
2022-12-26,20:07:16,332,332,276
2022-12-26,20:07:17,332,332,276
2022-12-26,20:07:18,333,332,276
2022-12-26,20:07:20,333,332,276
2022-12-26,20:07:21,332,332,275
2022-12-26,20:07:22,332,332,276
2022-12-26,20:07:23,332,332,276
2022-12-26,20:07:24,333,332,275
2022-12-26,20:07:25,333,332,276
2022-12-26,20:07:26,333,332,276
2022-12-26,20:07:27,333,332,275
2023-03-31,19:03:59,,,
2023-03-31,19:04:01,,,
2023-03-31,19:04:02,,,
2023-03-31,19:04:03,,,
2023-03-31,19:04:04,,,
2023-03-31,19:04:05,,,
2023-03-31,19:04:06,,,
2023-03-31,19:04:07,,,
2023-03-31,19:04:09,,,
2023-03-31,19:04:10,,,
2023-03-31,19:04:11,,,
2023-03-31,19:04:12,,,
2023-03-31,19:04:13,,,
2023-03-31,19:04:14,,,
2023-03-31,19:04:15,,,
2023-03-31,19:04:17,,,
2023-03-31,19:04:18,,,
2023-03-31,19:04:19,,,
2023-03-31,19:04:20,,,
2023-03-31,19:04:21,,,
2023-03-31,19:04:22,,,
2023-03-31,19:04:23,,,
2023-03-31,19:04:25,,,
2023-03-31,19:04:26,,,
2023-03-31,19:04:27,,,
2023-03-31,19:04:28,,,
2023-03-31,19:04:29,,,
2023-03-31,19:04:30,,,
2023-03-31,19:04:31,,,
2023-03-31,19:04:33,,,
2023-03-31,19:04:34,,,
2023-03-31,19:04:35,,,
2023-03-31,19:04:36,,,
2023-03-31,19:04:37,,,
2023-03-31,19:04:38,,,
2023-03-31,19:04:39,,,
2023-03-31,19:04:41,,,
2023-03-31,19:04:42,,,
2023-03-31,19:04:43,,,
2023-03-31,19:04:44,,,
2023-03-31,19:04:45,,,
2023-03-31,19:04:46,,,
2023-03-31,19:04:47,,,
2023-03-31,19:04:49,,,
2023-03-31,19:04:50,,,
2023-03-31,19:04:51,,,
2023-03-31,19:04:52,,,
2023-03-31,19:04:53,,,
2023-03-31,19:04:54,,,
2023-03-31,19:04:55,,,
2023-03-31,19:04:57,,,
2023-03-31,19:04:58,,,
2023-03-31,19:04:59,,,
2023-03-31,19:05:00,,,
2023-03-31,19:05:01,"PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
"
2023-03-31,19:05:02,,,
2023-03-31,19:05:03,,,
2023-03-31,19:05:05,,,
2023-03-31,19:05:06,,,
2023-03-31,19:05:07,,,
2023-03-31,19:05:08,,,
2023-03-31,19:05:09,,,
2023-03-31,19:05:10,,,
2023-03-31,19:05:11,,,
2023-03-31,19:05:13,,,
2023-03-31,19:05:14,,,
2023-03-31,19:05:15,,,
2023-03-31,19:05:16,,,
2023-03-31,19:05:17,,,
2023-03-31,19:05:18,,,
2023-03-31,19:05:19,,,
2023-03-31,19:05:21,,,
2023-03-31,19:05:22,,,
2023-03-31,19:05:23,,,
2023-03-31,19:05:24,,,
2023-03-31,19:05:25,,,
2023-03-31,19:05:26,,,
2023-03-31,19:05:27,,,
2023-03-31,19:05:29,,,
2023-03-31,19:05:30,,,
2023-03-31,19:05:31,,,
2023-03-31,19:05:32,,,
2023-03-31,19:05:33,,,
2023-03-31,19:05:34,,,
2023-03-31,19:05:36,,,
2023-03-31,19:05:37,,,
2023-03-31,19:05:38,,,
2023-03-31,19:05:39,,,
2023-03-31,19:05:40,,,
2023-03-31,19:05:41,,,
2023-03-31,19:05:42,,,
2023-03-31,19:05:44,,,
2023-03-31,19:05:45,,,
2023-03-31,19:05:46,,,
2023-03-31,19:05:47,,,
2023-03-31,19:05:48,,,
2023-03-31,19:05:49,,,
2023-03-31,19:05:50,,,
2023-03-31,19:05:52,,,
2023-03-31,19:05:53,,,
2023-03-31,19:05:54,,,
2023-03-31,19:05:55,,,
2023-03-31,19:05:56,,,
2023-03-31,19:05:57,,,
2023-03-31,19:05:58,,,
2023-03-31,19:06:00,,,
2023-03-31,19:06:01,"PUL:0,RES:0,TEM:0.00,SUG:inf,VEL:nan,O2:nan,CO2:nan,STR:nan,CAR:1,HYT:0
","PUL:0,RES:0,TEM:0.00,SUG:inf,VEL:nan,O2:nan,CO2:nan,STR:nan,CAR:1,HYT:0
","PUL:0,RES:0,TEM:0.00,SUG:inf,VEL:nan,O2:nan,CO2:nan,STR:nan,CAR:1,HYT:0
"
2023-03-31,19:06:02,,,
2023-03-31,19:06:03,,,
2023-03-31,19:06:04,,,
2023-03-31,19:06:05,,,
2023-03-31,19:06:07,,,
2023-03-31,19:06:08,,,
2023-03-31,19:06:09,,,
2023-03-31,19:06:58,,,
2023-03-31,19:07:01,,,
2023-03-31,19:07:04,,,
2023-03-31,19:07:06,,,
2023-03-31,19:07:09,,,
2023-03-31,19:07:12,,,
2023-03-31,19:07:14,,,
2023-03-31,19:07:17,,,
2023-03-31,19:07:20,,,
2023-03-31,19:07:22,,,
2023-03-31,19:07:25,,,
2023-03-31,19:07:28,,,
2023-03-31,19:07:31,,,
2023-03-31,19:07:34,,,
2023-03-31,19:07:37,,,
2023-03-31,19:07:40,,,
2023-03-31,19:07:42,,,
2023-03-31,19:07:45,,,
2023-03-31,19:07:50,,,
2023-03-31,19:07:53,,,
2023-03-31,19:07:55,,,
2023-03-31,19:07:58,,,
2023-03-31,19:08:00,"PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
","PUL:1,RES:0,TEM:0.00,SUG:12083.33,VEL:inf,O2:inf,CO2:inf,STR:nan,CAR:1,HYT:0
"
2023-03-31,19:08:03,,,
2023-03-31,19:21:42,,,
2023-03-31,19:21:47,,,
2023-03-31,19:21:49,,,
2023-04-01,09:52:05,,,
2023-04-01,09:52:08,,,
2023-04-01,09:52:11,,,
2023-04-01,09:52:13,,,
2023-04-01,09:52:18,,,
2023-04-01,09:52:21,,,
2023-04-01,09:52:23,,,
2023-04-01,09:52:26,,,
2023-04-01,09:52:28,,,
2023-04-01,09:52:31,,,
2023-04-01,09:52:34,,,
2023-04-01,09:52:36,,,
2023-04-01,09:52:39,,,
2023-04-01,09:52:41,,,
2023-04-01,09:52:44,,,
2023-04-01,09:52:46,,,
2023-04-01,09:52:49,,,
2023-04-01,09:52:53,,,
2023-04-01,09:52:56,,,
2023-04-01,09:52:58,,,
2023-04-01,09:53:01,,,
2023-04-01,09:53:03,,,
2023-04-01,09:53:06,,,
2023-04-01,09:53:08,"PUL:38,RES:8,TEM:0.00,SUG:317.98,VEL:4.75,O2:4.17,CO2:4.75,STR:0.88,CAR:1,HYT:0
","PUL:38,RES:8,TEM:0.00,SUG:317.98,VEL:4.75,O2:4.17,CO2:4.75,STR:0.88,CAR:1,HYT:0
","PUL:38,RES:8,TEM:0.00,SUG:317.98,VEL:4.75,O2:4.17,CO2:4.75,STR:0.88,CAR:1,HYT:0
"
2023-04-01,09:53:11,,,
2023-04-01,09:53:13,,,
2023-04-01,09:53:16,,,
2023-04-01,09:53:19,,,
2023-04-01,09:53:21,,,
2023-04-01,09:53:26,,,
2023-04-01,09:53:28,,,
2023-04-01,09:53:31,,,
2023-04-01,09:53:33,,,
2023-04-01,09:53:36,,,
2023-04-01,09:53:38,,,
2023-04-01,09:53:41,,,
2023-04-01,09:53:44,,,
2023-04-01,09:53:46,,,
2023-04-01,09:53:49,,,
2023-04-01,09:53:51,,,
2023-04-01,09:53:54,,,
2023-04-01,09:53:56,,,
2023-04-01,09:54:01,,,
2023-04-01,10:18:59,,,
2023-04-01,10:19:02,,,
2023-04-01,10:19:04,,,
2023-04-01,10:19:07,,,
2023-04-01,10:19:11,,,
2023-04-01,10:19:14,,,
2023-04-01,10:19:17,,,
2023-04-01,10:19:19,,,
2023-04-01,10:19:22,,,
2023-04-01,10:19:24,,,
